id,initiales_club,nb,col_club,long_ctr,lat_ctr,NOM_COMM,club_domicile_actuel
495,ACA,337.141597958794,#FF0800,8.73188983043313,41.887324829108,AJACCIO,AC Ajaccio
595,ACA,40.5366204318616,#FF0800,8.74107093219065,41.9815229498276,ALATA,AC Ajaccio
396,ACA,9.4514630790893,#FF0800,8.858662633289,41.7856629775343,PIETROSELLA,AC Ajaccio
794,ACA,8.85729215452667,#FF0800,8.62269495788531,42.1772955579751,CARGESE,AC Ajaccio
697,ACA,6.58942464304198,#FF0800,9.02339427166471,42.060531058259,UCCIANI,AC Ajaccio
7959,ACA,6.48060845627614,#FF0800,3.92577593144426,49.1348337704355,SERMIERS,AC Ajaccio
297,ACA,4.45743342825959,#FF0800,8.98499973481398,41.6838618137487,VIGGIANELLO,AC Ajaccio
597,ACA,3.96090919827624,#FF0800,9.01374961823389,41.9663494413951,BASTELICA,AC Ajaccio
898,ACA,3.07506483341959,#FF0800,9.17971489312613,42.2410310882845,VENACO,AC Ajaccio
997,ACA,2.35365381745352,#FF0800,9.05251437723813,42.3431297862546,CALACUCCIA,AC Ajaccio
498,ACA,1.40251974053737,#FF0800,9.14020549027586,41.8643405102336,ZICAVO,AC Ajaccio
8066,ACA,0.419143830505422,#FF0800,5.01830963468897,49.2160153726169,VARENNES-EN-ARGONNE,AC Ajaccio
6557,AJA,257.720871313169,#7CB9E8,3.59928593807324,47.8128157347451,AUXERRE,AJ Auxerre
6757,AJA,46.1055063242082,#7CB9E8,3.60142571205514,48.0020385216747,MIGENNES,AJ Auxerre
6556,AJA,30.0876756407522,#7CB9E8,3.44756132572934,47.8134932074488,SAINT-GEORGES-SUR-BAULCHE,AJ Auxerre
6657,AJA,24.7914895250426,#7CB9E8,3.60035391846802,47.9074298280961,CHENY,AJ Auxerre
6656,AJA,23.9670399235246,#7CB9E8,3.4483589330656,47.9081084703822,APPOIGNY,AJ Auxerre
6558,AJA,17.7928116138251,#7CB9E8,3.75100612524803,47.8119418900055,CHABLIS,AJ Auxerre
6457,AJA,10.5914421785409,#7CB9E8,3.59822175055765,47.7181965045855,CHAMPS-SUR-YONNE,AJ Auxerre
6456,AJA,10.4010138517007,#7CB9E8,3.44676655112785,47.7188728099828,CHEVANNES,AJ Auxerre
6759,AJA,8.24584881936629,#7CB9E8,3.90594380929158,48.0000877507878,FLOGNY-LA-CHAPELLE,AJ Auxerre
6356,AJA,7.00453824440792,#7CB9E8,3.44597459419718,47.6242475405474,COURSON-LES-CARRIERES,AJ Auxerre
6658,AJA,6.66499143940713,#7CB9E8,3.752344455002,47.9065544747842,LIGNY-LE-CHATEL,AJ Auxerre
5958,AJA,6.32745974897609,#7CB9E8,3.74307507836938,47.2441676234142,CORBIGNY,AJ Auxerre
4873,AJA,5.71889514891533,#7CB9E8,5.93678627910084,46.167350796996,PERON,AJ Auxerre
3841,AJA,4.38891953288851,#7CB9E8,1.25567802769082,45.2449979859039,AYEN,AJ Auxerre
7630,AJA,4.35264747063323,#7CB9E8,-0.564831581095903,48.801644538148,SAINT-GEORGES-DES-GROSEILLERS,AJ Auxerre
6160,AJA,1.18085713786624,#7CB9E8,4.04697937859964,47.4311220690938,ROUVRAY,AJ Auxerre
8749,ASC,749.808425173249,#91A3B0,2.36042893463174,49.8925880189962,AMIENS,Amiens SC
8748,ASC,65.8736108821816,#91A3B0,2.20253043826994,49.8916597760621,SALOUEL,Amiens SC
8848,ASC,23.0816596456598,#91A3B0,2.20105132719208,49.9860918949635,VIGNACOURT,Amiens SC
8650,ASC,20.9393433676534,#91A3B0,2.51922265820505,49.7988662789758,MOREUIL,Amiens SC
8948,ASC,18.6897846114024,#91A3B0,2.19956671932806,50.0805127286765,SAINT-OUEN,Amiens SC
8744,ASC,11.8811155031729,#91A3B0,1.57101284803395,49.8859071849912,BLANGY-SUR-BRESLE,Amiens SC
8751,ASC,9.97481712020115,#91A3B0,2.67624001004362,49.8938325379976,HARBONNIERES,Amiens SC
9045,ASC,8.24584881936629,#91A3B0,1.72177981892052,50.1708925494345,NOUVION,Amiens SC
8945,ASC,6.98841732785002,#91A3B0,1.72415475874952,50.0764902621362,TOURS-EN-VIMEU,Amiens SC
8747,ASC,5.05390734090192,#91A3B0,2.04463831947945,49.8905275573214,MOLLIENS-DREUIL,Amiens SC
8452,ASC,4.83282048525071,#91A3B0,2.83506616002024,49.6107745285445,LASSIGNY,Amiens SC
8647,ASC,4.49370549051486,#91A3B0,2.04640368114064,49.796086386688,QUEVAUVILLERS,Amiens SC
8451,ASC,3.14660140064527,#91A3B0,2.67802833125692,49.6104599074961,ROLLOT,Amiens SC
1635,ASC,2.01914479887708,#91A3B0,0.481661343232111,43.147491842275,VILLENEUVE-LECUSSAN,Amiens SC
8850,ASC,1.61612188492956,#91A3B0,2.51743913205186,49.9877472643776,WARLOY-BAILLON,Amiens SC
9146,ASC,0.725441245105538,#91A3B0,1.87844897241447,50.266833853951,CRECY-EN-PONTHIEU,Amiens SC
1446,ASC,0.643224570660244,#91A3B0,2.01928635081402,42.9833111199227,CHALABRE,Amiens SC
2384,ASM,511.588681690779,#FF0000,7.36510891183945,43.751561277578,MONACO,AS Monaco
2385,ASM,222.434673730326,#FF0000,7.50584640118644,43.7458243818976,MENTON,AS Monaco
4973,ASM,33.007576652302,#FF0000,5.94186149305544,46.2619540749099,THOIRY,AS Monaco
2737,ASM,25.03578341442,#FF0000,0.71951239925801,44.1937841260651,BON-ENCONTRE,AS Monaco
